"rules","support","confidence","lift"
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,COLESTEROL TOTAL,CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.380781320161652,0.919739696312364,1.35556605141472
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL TOTAL,CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.380781320161652,0.984901277584204,1.78468278696503
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.380781320161652,0.931868131868132,1.64312773528926
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,COLESTEROL TOTAL,LDL COLESTEROL (LDL-C) } => {CREATININA - serica o urinaria }",0.380781320161652,0.873326467559217,1.39719687015401
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,COLESTEROL TOTAL,CREATININA - serica o urinaria } => {LDL COLESTEROL (LDL-C) }",0.380781320161652,0.927789934354486,1.76597280667303
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,COLESTEROL TOTAL,LDL COLESTEROL (LDL-C) } => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.436012572968119,0.903255813953488,1.33127114339803
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL TOTAL,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.436012572968119,0.984787018255578,1.78447574422715
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.436012572968119,0.933653846153846,1.64627641756502
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,COLESTEROL TOTAL} => {LDL COLESTEROL (LDL-C) }",0.436012572968119,0.931861804222649,1.77372328034516
"{COLESTEROL TOTAL,CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.414009878760665,0.986096256684492,1.7868481396553
