"rules","support","confidence","lift"
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.126627750336776,0.992957746478873,1.79928144947799
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA} => {LDL COLESTEROL (LDL-C) }",0.126627750336776,0.965753424657534,1.83823322795926
"{HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.123933542882802,0.996389891696751,1.80550064182967
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,LDL COLESTEROL (LDL-C) } => {CREATININA - serica o urinaria }",0.123933542882802,0.876190476190476,1.40177887246853
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,CREATININA - serica o urinaria } => {LDL COLESTEROL (LDL-C) }",0.123933542882802,0.965034965034965,1.83686569840416
"{HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,COLESTEROL TOTAL,LDL COLESTEROL (LDL-C) } => {COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL}",0.130669061517737,0.993174061433447,1.79967342132814
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.130669061517737,0.923809523809524,1.62891829732685
"{COLESTEROL HDL (HDL-C) |(antes)| COLESTEROL HDL,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,COLESTEROL TOTAL} => {LDL COLESTEROL (LDL-C) }",0.130669061517737,0.963576158940397,1.83408897945322
"{HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,COLESTEROL TOTAL,CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.104625056129322,0.906614785992218,1.33622179245842
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.104625056129322,0.93574297188755,1.64996009373996
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,COLESTEROL TOTAL,LDL COLESTEROL (LDL-C) } => {CREATININA - serica o urinaria }",0.104625056129322,0.879245283018868,1.40666612448493
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,COLESTEROL TOTAL,CREATININA - serica o urinaria } => {LDL COLESTEROL (LDL-C) }",0.104625056129322,0.917322834645669,1.74604953227
"{HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,COLESTEROL TOTAL,LDL COLESTEROL (LDL-C) } => {GLUCEMIA (C/U) |(antes)| GLUCEMIA}",0.118994162550516,0.904436860068259,1.33301183810193
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.118994162550516,0.933098591549296,1.64529735817916
"{GLUCEMIA (C/U) |(antes)| GLUCEMIA,HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,COLESTEROL TOTAL} => {LDL COLESTEROL (LDL-C) }",0.118994162550516,0.923344947735192,1.75751213556092
"{HEMOGLOBINA GLICOSILADA (Hb A1C) |(antes)| HEMOGLOBINA GLICOSILADA,CREATININA - serica o urinaria ,LDL COLESTEROL (LDL-C) } => {COLESTEROL TOTAL}",0.115401885945218,0.927797833935018,1.63595073331218
