"Soporte","Tiempo_Ejecucion"
"sup_1e-04",0.000159225824276606
"sup_0.001",0.00015488499601682
"sup_0.005",0.000150946136713028
"sup_0.01",0.000140897679328918
"sup_0.05",0.000135022375981013
"sup_0.1",0.000134223578373591
"sup_0.2",0.000129528543949127
"sup_0.3",0.000127468543052673
"sup_0.5",0.000123454982837041
